id,ref,pred,cer
37,Chương trình hành động thực hiện Nghị quyết trung ương 9 - khóa,Chương trình hành động thực hiện Nghị quyết trung ương 9 - khóa,0.0
38,IX của Đảng bộ TP.HCM Về xây dựng Đảng : tiếp tục chỉ đạo mạnh,"IX của Đảng bộ TP.HCM về xây dựng Đảng : tiếp tục chỉ đạo mạnh,",3.225.806.451.612.900
39,"mẽ, có hiệu quả cuộc vận động xây dựng chỉnh đốn Đảng theo tinh","mặc, có hiệu quả cuộc vận động xây dựng chính đối Đảng theo tinh",6.349.206.349.206.340
40,"thần nghị quyết trung ương 6 (lần 2). Theo đó, tiếp tục thực hiện việc","thần nghị quyết trung ương 6 (lần số). Theo đó, tiếp tục được hẹn việc",10.0
41,kê khai nhà đất và cơ sở sản xuất kinh doanh của cán bộ - công chức;,lệ khai nhà đất và cơ sở xã nước hinh doanh của cán bộ - công chức.,16.176.470.588.235.200
42,"tăng cường thanh kiểm tra những nơi có dấu hiệu vi phạm, đặc biệt","tăng cường thành hiến tra những nơi có đầu hiệu vì phạm, đặc biệt",1.076.923.076.923.070
43,trong lĩnh vực đất đai và các công trình trọng điểm.,trong linh vực đất đai và các công trình trong điều tra.,15.384.615.384.615.300
44,Xử lý nghiêm minh theo pháp luật và kỷ luật của Đảng những người,Xứ lý nghiem mình theo pháp luật và kỷ luật của Đảng những người,4.6875
45,có hành vi sai trái và những người bao che. Thực hiện tốt các quy định,"có hành vi sai trái và những người bao che. Thủ tục hiện tất cả quy định,",11.428.571.428.571.400
46,"đối với cán bộ lãnh đạo, quản lý để xảy ra tham nhũng, tiêu cực ở cơ","đối với anh bà lãnh đạo, quản lý để xảy ra tham nhũng, tiêu cực ở cơ",588.235.294.117.647
47,"quan, đơn vị. Kiện toàn và tăng cường sức chiến đấu của tổ chức","quan, đến vị. Kiện toàn và tăng cường sức chiến đấu của tổ chức",15.873.015.873.015.800
48,cơ sở Đảng. Tiếp tục đổi mới và nâng cao công tác cán bộ. Tiếp tục,cơ sở Đảng. Tiếp tục đổi mới và mừng cao công tác cảnh bị. Tập tục,10.606.060.606.060.600
49,đổi mới phương thức lãnh đạo của cấp ủy Đảng theo phương châm,tôi mới phường thức lãnh đạo của cấp ủy Đảng theo phiếu chậm,13.114.754.098.360.600
50,hướng mạnh về cơ sở.,hướng mạnh về cổ sổ.,10.0
51,"Về cải cách hành chính : Tập trung chấn chỉnh mạnh hơn nữa kỷ cương,",Về cái cách hành chính : Tập trung chẩn chính mạnh hơn nữa thì cường,1.176.470.588.235.290
52,"kỷ luật trong bộ máy hành chính, nâng cao tinh thần trách nhiệm và","ký luật trong bộ máy hành chính, nâng cao trình thẩm thấch nhiệm và",10.606.060.606.060.600
53,"ý thức kỷ luật của CB - CC, nhất là trên lĩnh vực nhà đất, đầu tư,","ý thức kỷ luật của CĐ - CC, nhất là trên lĩnh vực nhà đất, dưới",12.121.212.121.212.100
54,"kinh doanh, trật tự xây dựng và giải quyết khiếu nại, tố cáo.","như doanh, trật tự cây dừng và giải quyết khiếu nại, từ cáo.",9.836.065.573.770.490
55,Xây dựng hoàn thiện hệ thống các qui trình thủ tục hành chính.,Xây dựng hoàn thiện hệ thống các quy trình thủ tục hành chính.,16.129.032.258.064.500
56,"Kiên quyết chấn chỉnh bộ máy hành chính các cấp, nhanh chóng","Kiên quyết chấn chỉnh bộ máy hành chính của cấp, nhanh chóng",33.333.333.333.333.300
57,"khắc phục tình trạng quan liêu, cửa quyền, hách dịch.","khác phục tinh tráng quan liệu, cửa quyền, khách điều.",169.811.320.754.717
58,Xây dựng và phát triển đội ngũ CB - CC có chất lượng chuyên môn,Xây dựng và phát triển địa ngõ CB - CC có chất lượng chuyên môn,4.761.904.761.904.760
59,"cao, có phẩm chất, đạo đức. Kiểm tra, xử lý kiên quyết các vụ","cao, cơ phẩm chất, đào đức. Kiểm tra, xử lý hiện quyết các vụ",6.557.377.049.180.320
60,"tham nhũng, lãng phí, làm thất thoát tài sản nhà nước... Về kinh","tham nhũng, lãng phí, làm chất thôđt tại sân nhà nước... Về hình",10.9375
61,"tế : Tập trung mọi nỗ lực nhằm tháo gỡ sản xuất kinh doanh,","từ : Tập trung mọi nỗ lực nhằm đưa gỗ sản xuất sinh hoạt,",1.864.406.779.661.010
62,đưa tốc độ tăng trưởng GDP trên địa bàn TP đạt 12% năm,dựa tới độ tăng trưởng GDP trên địa bàn TP đạt 1.2% năm,925.925.925.925.926
63,"2004 và trên 12% năm 2005. Phát triển nhanh các ngành dịch vụ,","2004 và trên 125 năm 2005. Thất triển nhạnh các ngành dịch vụ,",6.451.612.903.225.800
64,tái cấu trúc các ngành công nghiệp.,tài cầu trực cầu ngành công nghiệp.,14.285.714.285.714.200
65,Tiếp tục nhân rộng các mô hình huy động vốn đầu tư. Tập trung khai,tiếp tục nhận rộng các mỏ hình huy động vốn đầu tư. Tập trung khá,7.575.757.575.757.570
66,thác các nguồn vốn cho ngân sách. Tổng kết quá trình cổ phần hóa,"thực cả người với cho ngàn sách. Tổng kết quả trình có phần hạ,",203.125
67,doanh nghiệp nhà nước và việc tổ chức sắp xếp lại doanh nghiệp nhà,doanh nghiệp nhà nước và việc tổ chức sắp xếp lại doanh nghiệp nhà,0.0
68,nước. Triển khai quyết định của TP về một số chính sách ưu đãi,nuốc. Trên khai quyết định của TP về một số chính sách vừa đã,12.903.225.806.451.600
69,đối với các dự án có vốn đầu tư nước ngoài. Rà soát lại chương,đối với các dự án có vốn đầu tư nước ngoài. Rà soát lại chương,0.0
70,trình hội nhập kinh tế của TP. Về văn hóa - xã hội : đẩy mạnh,tành hội nhập chính tế của TP. Về văn hoá - xã hội : đẩy mạnh,11.475.409.836.065.500
71,"xã hội hóa, phát triển xã hội học tập, ưu tiên đầu tư ngân","cả hội hoặc, phát triển xã hội học tập, vụ tiền đầu tư ngân",13.793.103.448.275.800
72,sách cho giáo dục - đào tạo.,cách cho giáo dục - đào tạo.,3.571.428.571.428.570
73,Nâng cao năng lực quản lý nhà nước trên các lĩnh vực kinh doanh,Nâng cao năng lực quản lý nhà nước trên các lĩnh vực kinh doanh,0.0
74,"dịch vụ văn hóa; khắc phục những sơ hở, tiêu cực trong quản lý","dịch vụ vẫn hoà ; khẩu phục những sở hữu, tiêu cực trong quản lý,",16.129.032.258.064.500
75,và hoạt động văn hóa. Tiếp tục tập trung nguồn lực cho chương,và hoạt động văn hoá. Tiếp tục tập trung nguồn lực cho chương,3.278.688.524.590.160
76,trình 3 giảm...,tình 3 giảm...,6.666.666.666.666.660
77,Chương trình hành động thực hiện Nghị quyết trung ương 9 - khóa IX của Đảng bộ,Chương trình hành động thực hiện Nghị quyết Trung ương g - thỏa 1x của Đảng 15,10.256.410.256.410.200
78,"TP.HCM Về xây dựng Đảng : tiếp tục chỉ đạo mạnh mẽ, có hiệu quả cuộc vận động xây","TP.HCM Về xây dựng Đảng : tiếp tục chỉ đạo mạnh mẽ, có hiệu quả cuộc vận động",4.938.271.604.938.270
79,"dựng chỉnh đốn Đảng theo tinh thần nghị quyết trung ương 6 (lần 2). Theo đó, tiếp tục","đồng chính đơn Đảng theo tinh thần nghị quyết trung ương 6 (10 x 2). Theo đó, tập trung",16.470.588.235.294.100
80,thực hiện việc kê khai nhà đất và cơ sở sản xuất kinh doanh của cán bộ - công,thực hiện việc kê thai nhà đất và có số sản xuất lãnh danh của cán bộ - công,7.792.207.792.207.790
81,"chức; tăng cường thanh kiểm tra những nơi có dấu hiệu vi phạm, đặc biệt","chức, tổng cộng thành kiểm tra những nội bộ dấu hiệu vì phạm, đặc biệt",12.676.056.338.028.100
82,trong lĩnh vực đất đai và các công trình trọng điểm.,định lĩnh vực đã đại và các công trình trong điểm.,15.384.615.384.615.300
83,Xử lý nghiêm minh theo pháp luật và kỷ luật của Đảng những người có hành,Xứ lý nghiêm mình theo pháp luật và kỷ luật của Đảng những người có hành,27.777.777.777.777.700
84,vi sai trái và những người bao che. Thực hiện tốt các quy định đối với cán bộ lãnh,vị sai trâu và nhưng người bao che. Thực hiện tốt các quy định đối với cán bộ lãnh,4.878.048.780.487.800
85,"đạo, quản lý để xảy ra tham nhũng, tiêu cực ở cơ quan, đơn vị. Kiện toàn và","Đạo, quản lý để xảy ra tham nhũng, tiêu cực ở cơ quan, đơn vị. Kiểm toán và",5.333.333.333.333.330
86,tăng cường sức chiến đấu của tổ chức cơ sở Đảng. Tiếp tục đổi mới và nâng,tăng cường sức chiến đấu và tổ chức cơ sở Đảng. Tập tư đối mặt và nâng,13.698.630.136.986.300
87,cao công tác cán bộ. Tiếp tục đổi mới phương thức lãnh đạo của cấp ủy,Cao công tác cán bộ. Tiếp tục đổi mới phương thức làm đạo của cấp ủy,5.797.101.449.275.360
88,Đảng theo phương châm hướng mạnh về cơ sở.,Đang theo phương châm hướng mạng về cơ sở.,4.761.904.761.904.760
89,"Về cải cách hành chính : Tập trung chấn chỉnh mạnh hơn nữa kỷ cương, kỷ luật trong","Về cái cách hành chính : Tập trung chẩn chính mới hơn nữa tủy cũng, bị hút trong",1.951.219.512.195.120
90,"bộ máy hành chính, nâng cao tinh thần trách nhiệm và ý thức kỷ luật của CB - CC,","bỏ mấy hành chính, nặng cao tình thân trách nhiệm và ý thức ký luật của CBQC",13.750.000.000.000.000
91,"nhất là trên lĩnh vực nhà đất, đầu tư, kinh doanh, trật tự xây dựng và","nhất là trên lãnh vực nhà đất, đầu tư, kinh doanh, trả tự xây dựng và",4.285.714.285.714.280
92,"giải quyết khiếu nại, tố cáo. Xây dựng hoàn thiện hệ thống các qui trình","giải quyết khiếu nại, tố cáo. Xây dựng hoàn thiện hệ thống các quy trình",13.888.888.888.888.800
93,"thủ tục hành chính. Kiên quyết chấn chỉnh bộ máy hành chính các cấp,",Thứ tư hạnh chính. Kiên quyết chấn chỉnh bỏ máy hạnh chính các cấp,1.176.470.588.235.290
94,"nhanh chóng khắc phục tình trạng quan liêu, cửa quyền, hách dịch.","nhân chống thác phục tình trạng quan liêu của quyền, khách dịch.",12.307.692.307.692.300
95,"Xây dựng và phát triển đội ngũ CB - CC có chất lượng chuyên môn cao, có phẩm","Xây dựng và phát triển đối ngữ CB-CC có chất lượng chuyên môn cao, có phẩm",5.263.157.894.736.840
96,"chất, đạo đức. Kiểm tra, xử lý kiên quyết các vụ tham nhũng, lãng phí,","chất, đạo đức. Kiểm tra, xử lý kiến quyết các cơ địa tham nhũng, lấy phí,",14.285.714.285.714.200
97,làm thất thoát tài sản nhà nước... Về kinh tế : Tập trung mọi nỗ lực,làm thái thoát tại sân nhà nước... Về kinh tế : tập trung mới nỗ lực,8.823.529.411.764.700
98,"nhằm tháo gỡ sản xuất kinh doanh, đưa tốc độ tăng trưởng GDP trên địa","nhằm tháo gỡ sản xuất linh doanh, đưa tòa đỏ tăng trưởng GDP tràn đảo",10.144.927.536.231.800
99,bàn TP đạt 12% năm 2004 và trên 12% năm 2005. Phát triển nhanh,bán 7D đạt 12 % năm 2004 và trên 12 % năm 2005. Phải tiến hành,17.741.935.483.870.900
100,"các ngành dịch vụ, tái cấu trúc các ngành công nghiệp.","các ngành dịch vụ, tài cẩu trực cổng ngân công nghiệp.",14.814.814.814.814.800
101,Tiếp tục nhân rộng các mô hình huy động vốn đầu tư. Tập trung khai thác,Tiếp tục nhận rộng các mô hình. Huy đóng vốn đầu tư. Tập trung khai thác,5.633.802.816.901.400
102,các nguồn vốn cho ngân sách. Tổng kết quá trình cổ phần hóa doanh,các nguồn vốn cho ngân sách. Tổng kết quả trực cổ phải hoá doanh,12.307.692.307.692.300
103,nghiệp nhà nước và việc tổ chức sắp xếp lại doanh nghiệp nhà nước.,"nghiệp nhà nước và việc tổ chức, sắp xếp lại doanh nghiệp nhà nước.",15.151.515.151.515.100
104,Triển khai quyết định của TP về một số chính sách ưu đãi đối với,Trên khái quyết định của TP về mới số chính sách du lịch và đề tài đề tài.,359.375
105,các dự án có vốn đầu tư nước ngoài. Rà soát lại chương,các dự án có vốn đầu tư nước ngoài. Rà sát lại các chương,925.925.925.925.926
106,trình hội nhập kinh tế của TP. Về văn hóa - xã hội : đẩy mạnh xã,"trình hội nhập kinh tế của TP. Về văn hoá - xã hội, đây mấy xã",12.5
107,"hội hóa, phát triển xã hội học tập, ưu tiên đầu tư ngân sách","hỏi hóa, phải triển xã hội học tập, lưu tiền đầu tư ngân sách",8.333.333.333.333.330
108,cho giáo dục - đào tạo.,cho giáo dục - đào tạo.,0.0
109,Nâng cao năng lực quản lý nhà nước trên các lĩnh vực kinh doanh dịch vụ,Năng cao nặng lực quản lý nhà nước trên các hình vực bên dành dịch vụ,12.676.056.338.028.100
110,"văn hóa; khắc phục những sơ hở, tiêu cực trong quản lý và hoạt động","văn hội; khắc phục những sở hộ, trụ cục trong quản lý và hoạt động",11.940.298.507.462.600
111,văn hóa. Tiếp tục tập trung nguồn lực cho chương trình 3 giảm...,văn hoá. Tiếp tục tập trung người lực cho đường trình 3 giảm...,12.5
112,"Viết tiếp về vụ anh Trương Xuân Đại. Ngay từ khi tờ báo có bài "" Số phận của","Việc tiếp về nu cạnh trương Xuân Đại. Ngày tự hỏi, tò báo "" cơ sở phẩm của",3.157.894.736.842.100
113,"những người nói lên sự thật "" phát hành, nhiều bạn đọc đã bày tỏ sự chia sẻ,","nhưng người mới lên sự thật "" phát hành, nhắn lắm đọc dấu bảy bốn xa chia sẻ,",23.684.210.526.315.700
114,ủng hộ anh Trương Xuân Đại. Một bạn đọc 67 tuổi ở Q.11 đến gửi tặng anh Trương,"ứng hộ anh Trương Xuân Đại. Mất hơn đác 67 tuổi ở Q. Nhiệm giải "" công trình "" trong anh Trương",3.846.153.846.153.840
115,"Xuân Đại 150.000 đồng, một cô gái tên Nhung ở Tân Bình gửi tặng 100.000 đ,","Xuân Dụ 150.000 đồng, mất cơ quan tên Nhung ở Tân Bình gửi tổng 100.000,",16.216.216.216.216.200
116,một thanh niên tên Hà đến gửi 200.000 đ. Sau đó nữa là rất,"mặt thành món tên Hải đến quán 200.000. Sau đó mua là Hải,",32.758.620.689.655.100
117,"nhiều bạn đọc gọi đến bày tỏ sự chia sẻ, ủng hộ.","nhìn làm đặc phẩm bảy bộ nơi chưa bỏ, cũng hồ",56.25
118,Ban biên tập báo Tuổi Trẻ cũng quyết định gửi tặng nhóm công nhân,"Bạn liền lặp bảo "" tuần "" từ cùng quyền định giá tổng nhóm công nhân",3.230.769.230.769.230
119,đã tố cáo tiêu cực ở đường liên cảng A5 10 triệu đồng. Đừng để người dân,"để tổ chức cuộc ở đây lặng lặng A5 10 tuần đây. Đây, đề nghị dân",4.722.222.222.222.220
120,"đặt cược cho niềm tin! Qua báo chí, bản thân tôi đã được biết về việc tố cáo những","đặc cuộc cho miền tảng! Cưa bán chí, bạn thăm bán dứa liệu về về tôi vào những",40.243.902.439.024.300
121,"sai phạm của công rình đường liên cảng A5 mấy năm trước đây, nhưng nay","dài phạm của công trình đường liên cảng A5 trong năm thuộc cây, nhưng này",18.571.428.571.428.500
122,mới biết việc làm dũng cảm và tốt đẹp đó đã mang đến bao hệ lụy phiền phức,"mặt biệt "" việc lớn chúng còn và bắt đập đã mang đến bao bì lòng phận phúc",3.513.513.513.513.510
123,"cho những người trong cuộc, những người mà theo tôi vô cùng xứng đáng với danh","cho người sống mà ở những người mà "" chớ sốt vô cùng xứng đáng "" và "" dành",358.974.358.974.359
124,hiệu hiệp sĩ.,hình pháp,7.692.307.692.307.690
125,"Thế nhưng những hiệp sĩ ấy giờ ra sao? Người thì lang thang, phiêu bạt, kẻ thì","Thế nhưng những hiệp ưu ấp gì của nó? Ngyễn thì bày thông, phẩm bát, hè nhỏ",3.333.333.333.333.330
126,"vợ bỏ, kẻ thì cày ải trên những con đường đô thị để lượm ve chai, phải tá túc trong",""" có bộ, hệ thống áp điện con đường, đồ thu đế trường ve chai, phẫu đa tục động",4.819.277.108.433.730
127,những căn chòi tạm bợ sống qua ngày. Ngẫm sao mà thương thế! Đáng lẽ phải được,"những cơn đất foam bỏ rằng qua ngày. Người lao mặt nhưng chết, đứng lên phận chai",4.102.564.102.564.100
128,tôn vinh thì trái lại những con người ấy đã bị đẩy xuống đáy cùng của cuộc,"Tôi sinh thế tươi là những cơn ngứa cây đá bị dày, xuống đây cũng còn cánh,",3.513.513.513.513.510
129,"sống! Cũng may mà anh Đại đã thắng kiện, đó chắc là một niềm an ủi và","đồng! cũng mang mà sinh đơn đã những hơn, đó chắc là niệm cũng cũ vẫn",39.130.434.782.608.600
130,"là một khẳng định để anh và các đồng nghiệp, người thân tin rằng các","là những định đề "" mình mơ các động nguyện, người chăm tin rộng rộc,",35.294.117.647.058.800
131,anh không đơn độc trong việc theo đuổi niềm tin về lẽ phải của mình.,anh hộ này đàn Đà trong việc thay điểm giảm tín cứ lý pháp mà mình,3.823.529.411.764.700
132,"Lại nữa, khi thanh tra đã xác định sai phạm sao không xử lý mà để "" ngâm ""","Là mưa, khi thành tạo đất xác đã xác đã thành sản phẩm mới không xử lý mà ấy ngầm",445.945.945.945.946
133,lâu ngày đến vậy? Tôi không phải là người trong lĩnh vực chuyên môn nhưng,"lên ngày dân vậy? Và thầm) phải là người này kinh tế, tức chuyển mâm nhưng",36.986.301.369.863.000
134,có thể hình dung công trình đường liên cảng A5 chắc là nhằm phục vụ hoạt động của,có chủ hình dựng công trình điện bên cảng A5 chứa nhóm phục vụ hòa đông của,2.222.222.222.222.220
135,các nhà đầu tư trong Khu chế xuất Tân Thuận. Vậy thì khi không khắc phục ngay,"các nghề dầu lưu kỳ trong khi còn tồn tại Khánh Vĩnh. Với thủ khẩu khẩu yếu, phục ngay",50.649.350.649.350.600
136,"mà còn để con đường xuống cấp thê thảm, có phải là góp thêm phần","mà còn đề "" con đường xem gì "" thì chọn cơ phát, gọi thêm phần",359.375
137,"làm xấu đi môi trường đầu tư của thành phố hay không, và cũng","bốn xã, đi mà xuất địa là của Chính phủ ở huy không 1 nữ vùng",47.540.983.606.557.300
138,đồng nghĩa với việc mất đi bao nhiêu cơ hội làm việc và cải thiện cuộc sống,đây nghĩa vải việc mà đi bao nhiên vợ hồ bốn việc và cả thiếu của cơ quan,3.333.333.333.333.330
139,của người lao động - đồng bào - hay không?,của người bị bệnh - đồng bộ - họ thường?,30.952.380.952.380.900
140,"Chúng ta "" hoan nghênh và biểu dương những việc làm tốt của công nhân","chúng tôi có biên nghiên văn liên thương, chúng vực lâm sàng là của vị thần",5.217.391.304.347.820
141,"xây dựng trong việc thông tin, phản ánh sai phạm của công trình đường",xây dựng công việc là một công trình an phí giai phạm của công trình đường,30.434.782.608.695.600
142,"liên cảng A5 "", nhưng chắc là không có hình thức hoan nghênh và biểu","Hồng công AS "", nhưng chưa là những cơ biểu Thành ơn người vũ liên",4.264.705.882.352.940
143,dương nào thiết thực hơn đối với anh Đại và những đồng nghiệp là xử lý ngay,đường Chức Ủnh hạn vải anh Đại vụ mầm đại nghiệp bị xét 75 ngày,48.0
144,những sai phạm (đã rõ mười mươi) và có biện pháp hữu hiệu khắc phục,khẳng định phạm (đã có muốn mua) và có liên pháp liên biên phẩm văn,44.776.119.402.985.000
145,những sai phạm đó. Có như vậy niềm tin vào lẽ phải mới được khôi phục,"chương trình "" An Lâm "" đã có nhiều ngày muốn gìn vốn là phía nước để chấp nhận",7.101.449.275.362.310
146,và người dân sẽ không còn phải đặt cược cho niềm tin của mình.,cả người dân sẽ không còn phải đặt được cho mỗi kim mỗi ngày,27.419.354.838.709.600
147,Phải là một câu chuyện đàng hoàng! Nhóm công nhân dũng cảm ấy gồm,Phần kể mọi cái chuyện không không khẳng 1 nhà công nhân chuyện cũng vậy,5.846.153.846.153.840
148,20 người vậy mà hầu như nay đã lang bạt hết. Chỉ còn anh Đại và bốn,20 người Vậy mà hầu như ra ông đã lấy hay hết. Chứ còn anh Dại vẫn hẳn,26.865.671.641.791.000
149,"người khác. Thân phận, cuộc sống của họ là bi đát, và điều mỉa mai cũng","nghĩa PHÁT. Thân phẩm, luật sống của họ thì là vấn đề mới mắn của cộng",46.478.873.239.436.600
150,"như làm chạnh lòng tôi là có phải họ đã xả thân vì đại nghĩa để rồi gia đình,","như làm chăn bày, biết phải họ đã xả nhà vì đã ngừa đủ lần "" gà lúc",4.415.584.415.584.410
151,"vợ con ly tán, thất nghiệp, lâm vào cảnh đời tan nát như thế sao! Vì sao họ","vợ còn bán phải nghiện, lần vào cánh đầu tam giác như thế nào? Vì họ họ",3.333.333.333.333.330
152,"đã làm điều đó? Ba năm trôi qua, chắc hẳn đã hàng trăm, ngàn lần","để bán được dịch Bạc năm tận nạn, chết hầu đã hãy tiêm ngừa, người họ",609.375
153,"câu hỏi đó tự đến với họ hoặc đến từ người thân, bạn bè đi kèm sự chua",căn hẳn do lũ cứu - vợ họ bán dừa tự người tháng bạm bê đã hẹn rơi chạp,5.142.857.142.857.140
154,"chát, ngậm ngùi.",chất / ngọn mặt.,56.25
